District,State,Zone
Siddharth Nagar,Uttar Pradesh,Green Zone
Sonbhadra,Uttar Pradesh,Green Zone
Amethi,Uttar Pradesh,Green Zone
Haridwar,Uttarakhand,Red Zone
Dehradun,Uttarakhand,Orange Zone
Nainital,Uttarakhand,Orange Zone
Udam Singh Nagar,Uttarakhand,Green Zone
Almora,Uttarakhand,Green Zone
Pauri Garhwal,Uttarakhand,Green Zone
Bageshwar,Uttarakhand,Green Zone
Chamoli,Uttarakhand,Green Zone
Champawat,Uttarakhand,Green Zone
Pithoraga rh,Uttarakhand,Green Zone
RudraPrayag,Uttarakhand,Green Zone
Tehri Garhwal,Uttarakhand,Green Zone
Uttar Kashi,Uttarakhand,Green Zone
Kolkata,West Bengal,Red Zone
Howrah,West Bengal,Red Zone
24 Paraganas North,West Bengal,Red Zone
24 Paraganas South,West Bengal,Red Zone
Medinipur West,West Bengal,Red Zone
Medinipur East,West Bengal,Red Zone
Darjeeling,West Bengal,Red Zone
Jalpaiguri,West Bengal,Red Zone
Kalimpong,West Bengal,Red Zone
Maldah,West Bengal,Red Zone
Hooghly,West Bengal,Orange Zone
Paschim Bardhaman,West Bengal,Orange Zone
Nadia,West Bengal,Orange Zone
Purba Bardhaman,West Bengal,Orange Zone
Murshidabad,West Bengal,Orange Zone
Dinajpur Uttar,West Bengal,Green Zone
Bankura,West Bengal,Green Zone
Birbhum,West Bengal,Green Zone
Coochbehar,West Bengal,Green Zone
Dinajpur Dakshin,West Bengal,Green Zone
Purulia,West Bengal,Green Zone
Alipurduar,West Bengal,Green Zone
Jhargram,West Bengal,Green Zone
